title,love,score,tags,play_times
Ｄｒ．ＳＴＯＮＥ 石纪元,355.2万追番,9.7,"[""漫画改"",""科幻"",""励志"",""冒险""]",1700.0万
银魂,354.9万追番,9.9,"[""漫画改"",""热血"",""搞笑"",""战斗""]",4400.0万
阿宅的恋爱真难,352万追番,9.6,"[""搞笑"",""恋爱"",""日常"",""漫画改""]",8197万
测不准的阿波连同学,349.9万追番,9.7,"[""漫画改"",""校园"",""恋爱"",""搞笑""]",8597.4万
玉子市场,347.2万追番,9.8,"[""萌系"",""少女"",""治愈"",""日常""]",6228.5万
入间同学入魔了 第二季,345万追番,9.7,"[""漫画改"",""奇幻"",""搞笑"",""校园""]",1100.0万
擅长捉弄的高木同学 第三季,344.2万追番,9.9,"[""漫画改"",""校园"",""恋爱""]",6205.6万
食戟之灵 餐之皿,344.1万追番,9.4,"[""美食"",""校园"",""搞笑"",""漫画改""]",2973.7万
犬夜叉剧场版 穿越时空的思念,343.8万追番,9.8,"[""冒险"",""战斗"",""热血"",""搞笑""]",274.5万
宿命回响：命运节拍,342.3万追番,7.4,"[""音乐"",""原创"",""战斗"",""冒险""]",6371.9万
女高中生的虚度日常,340.4万追番,9.8,"[""搞笑"",""校园"",""漫画改"",""日常""]",7900.1万
男子高中生的日常,339.9万追番,9.8,"[""搞笑"",""校园"",""日常"",""漫画改""]",7888.6万
齐木楠雄的灾难,339.3万追番,9.7,"[""校园"",""搞笑"",""日常"",""漫画改""]",1900.0万
异世界迷宫黑心企业,338.1万追番,9.7,"[""漫画改"",""穿越"",""奇幻"",""搞笑""]",9252.2万
文豪野犬 第三季,336.8万追番,9.8,"[""漫画改"",""战斗"",""奇幻""]",8785万
JOJO的奇妙冒险 不灭钻石,336.6万追番,9.8,"[""热血"",""奇幻"",""漫画改"",""战斗""]",2900.0万
理科生坠入情网，故尝试证明。,336.4万追番,9.7,"[""漫画改"",""日常"",""搞笑"",""校园""]",6372.1万
孤独摇滚！,335.4万追番,9.9,"[""漫画改"",""音乐"",""日常""]",1300.0万
约定的梦幻岛 第二季,334.3万追番,2.8,"[""漫画改"",""热血"",""冒险"",""励志""]",4600.6万
理科生坠入情网，故尝试证明。 第二季,332.8万追番,6.5,"[""漫画改"",""搞笑"",""校园"",""恋爱""]",2586.2万
猫和老鼠 旧版,332万追番,9.9,"[""搞笑"",""日常"",""少儿""]",4300.0万
银魂 最终篇,331.5万追番,9.8,"[""漫画改"",""搞笑"",""战斗"",""热血""]",377.8万
