title,love,score,tags,play_times
Ｄｒ．ＳＴＯＮＥ 石纪元,333.7万追番,9.7,"['漫画改', '科幻', '励志', '冒险']",15000.0万
珈百璃的堕落,332.3万追番,9.6,"['日常', '漫画改', '神魔']",8991.3万
理科生坠入情网，故尝试证明。 第二季,332.2万追番,7.3,"['漫画改', '搞笑', '校园', '恋爱']",2029.9万
我的青春恋爱物语果然有问题。续,331.1万追番,9.8,"['日常', '校园', '恋爱', '小说改']",15000.0万
阿宅的恋爱真难,327.9万追番,9.6,"['搞笑', '恋爱', '日常', '漫画改']",7343.6万
宿命回响：命运节拍,327.7万追番,7.6,"['原创', '战斗', '冒险', '音乐']",5301.4万
天气之子,326.9万追剧,9.6,"['爱情', '奇幻', '动画']",3907.2万
公主连结 与你重逢 第二季,324.9万追番,5.9,"['游戏改', '搞笑', '冒险', '萌系']",3015.6万
异世界迷宫黑心企业,323.9万追番,9.7,"['漫画改', '穿越', '奇幻', '搞笑']",8377.5万
夏目友人帐,322.9万追番,9.8,"['奇幻', '日常', '治愈', '催泪']",4943.4万
测不准的阿波连同学,319.3万追番,9.7,"['漫画改', '搞笑', '校园', '恋爱']",6760.1万
路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,318.8万追番,9.8,"['热血', '奇幻', '战斗', '漫画改']",517.3万
女高中生的虚度日常,316.9万追番,9.8,"['日常', '漫画改', '校园', '搞笑']",6796.2万
理科生坠入情网，故尝试证明。,316.9万追番,9.7,"['漫画改', '日常', '搞笑', '校园']",5618.8万
公主连结Re:Dive,315.2万追番,9.5,"['奇幻', '战斗', '魔法', '冒险']",9264.3万
魔法禁书目录 第三季,311.5万追番,8.0,"['小说改', '热血', '科幻', '奇幻']",10000.0万
秒速五厘米,310.6万追番,9.6,"['催泪', '日常']",2945.7万
全员恶玉,309.7万追番,6.2,"['原创', '战斗', '架空', '科幻']",9766.6万
齐木楠雄的灾难,304.4万追番,9.7,"['校园', '搞笑', '日常', '漫画改']",15000.0万
Fate/EXTRA Last Encore,304.2万追番,8.8,"['奇幻', '战斗', '游戏改']",5074万
男子高中生的日常,303.7万追番,9.8,"['搞笑', '校园', '日常', '漫画改']",6104.3万
JOJO的奇妙冒险 不灭钻石,300.9万追番,9.8,"['热血', '奇幻', '漫画改', '战斗']",21000.0万
魔卡少女樱 CLEAR CARD篇,300.2万追番,9.8,"['少女', '魔法', '漫画改']",7058.5万
Fate/stay night [Unlimited Blade Works] 第二季,298.8万追番,9.5,"['奇幻', '热血']",15000.0万
文豪野犬 第三季,296.7万追番,9.8,"['漫画改', '战斗', '奇幻']",6653.5万
工作细胞BLACK,295.9万追番,9.8,"['漫画改', '战斗', '声控']",7212.2万
超能力女儿,293.2万追番,9.6,"['搞笑', '日常', '漫画改']",9221.6万
我被逐出队伍后过上慢生活,293.1万追番,8.0,"['小说改', '日常', '恋爱']",8686.4万
极主夫道,292.2万追番,9.7,"['漫画改', '搞笑', '日常']",5492万
你的名字。,291.3万追剧,9.9,"['爱情', '剧情', '动画']",8244.6万
约会大作战,289.7万追番,9.3,['战斗'],5367.4万
某科学的一方通行,288.8万追番,6.7,"['漫画改', '科幻', '战斗', '魔法']",7112.5万
甘城光辉游乐园,287.9万追番,9.7,"['日常', '奇幻', '励志', '职场']",4561.5万
在魔王城说晚安,284.9万追番,9.7,"['漫画改', '奇幻', '治愈', '搞笑']",6580.5万
路人超能100 II(灵能百分百 第二季),284.3万追番,9.9,"['热血', '奇幻', '战斗', '漫画改']",10000.0万
擅长捉弄的高木同学 第二季,284.2万追番,9.9,"['漫画改', '校园', '恋爱', '日常']",6881.9万
打了300年的史莱姆，不知不觉就练到了满级,284.2万追番,9.5,"['小说改', '穿越', '奇幻']",8528万
入间同学入魔了,283万追番,9.5,"['漫画改', '校园', '搞笑', '奇幻']",14000.0万
黑色四叶草,283万追番,9.5,"['战斗', '热血', '魔法', '漫画改']",33000.0万
玉子市场,280.9万追番,9.8,"['萌系', '少女', '治愈', '日常']",4199.7万
文豪野犬 汪！,280.9万追番,9.8,"['漫画改', '日常', '搞笑']",2164.4万
半妖的夜叉姬 第二季,280.3万追番,5.8,"['原创', '奇幻', '战斗']",1208.3万
月光下的异世界之旅,279.3万追番,9.2,"['小说改', '穿越', '奇幻']",7441.8万
如果能写小说就好了,279.2万追番,9.3,"['小说改', '恋爱']",5960.2万
关于前辈很烦人的事,279.2万追番,9.8,"['漫画改', '搞笑', '恋爱', '职场']",6793.4万
元气少女缘结神◎,278.1万追番,9.7,"['奇幻', '少女', '神魔']",4599万
猫和老鼠 旧版,274.8万追番,9.9,"['搞笑', '日常', '少儿']",25000.0万
炎炎消防队 贰之章,274.1万追番,9.1,"['漫画改', '热血', '战斗', '声控']",7045.1万
炎炎消防队,272.1万追番,9.2,"['漫画改', '战斗', '热血']",10000.0万
言叶之庭,271万追番,9.7,"['日常', '少女', '治愈']",2648.8万
中二病也要谈恋爱！恋,270.3万追番,9.7,"['搞笑', '恋爱']",3122.8万
某科学的超电磁炮S,270.1万追番,9.7,"['校园', '战斗', '奇幻']",9210.9万
瓦尼塔斯的手记,269.8万追番,9.7,"['漫画改', '奇幻', '战斗']",5334.2万
我女友与青梅竹马的惨烈修罗场,268.4万追番,8.9,"['校园', '恋爱']",5721万
银魂,267.8万追番,9.9,"['漫画改', '热血', '搞笑', '战斗']",24000.0万
喜欢本大爷的竟然就你一个？,263.8万追番,9.1,"['小说改', '校园', '恋爱']",7745.6万
夏目友人帐 第五季,263.5万追番,9.7,"['治愈', '催泪', '神魔', '漫画改']",5487.3万
线上游戏的队友不可能是女生？,263.2万追番,8.9,"['奇幻', '校园']",7650万
会长是女仆大人！,262.6万追番,9.8,"['日常', '少女', '校园', '恋爱']",7110.4万
贤者之孙,261.7万追番,6.8,"['小说改', '奇幻', '架空', '穿越']",8721.3万
从零开始的魔法书,261.5万追番,9.0,"['小说改', '奇幻', '魔法', '架空']",5851万
打工吧！魔王大人,261.2万追番,9.6,"['日常', '小说改', '神魔', '职场']",11000.0万
在地下城寻求邂逅是否搞错了什么 第三季,260.4万追番,9.2,"['小说改', '战斗', '奇幻', '冒险']",3273.9万
野良神 ARAGOTO,257.7万追番,9.4,"['奇幻', '战斗', '漫画改', '神魔']",12000.0万
好比是最终迷宫前的少年到新手村生活一般的故事,257.2万追番,7.8,"['小说改', '搞笑', '冒险']",7676.1万
食戟之灵,256.6万追番,9.5,"['美食', '热血']",18000.0万
愤怒的审判,255.8万追番,6.1,"['漫画改', '热血', '战斗', '奇幻']",3366万
奇蛋物语 / WONDER EGG PRIORITY,254.1万追番,9.7,"['原创', '奇幻']",4668.1万
约会大作战 第三季,253.3万追番,7.9,"['小说改', '萌系', '奇幻', '战斗']",6425.8万
幻界战线,252.8万追番,9.6,"['科幻', '热血', '战斗']",6817.2万
小木乃伊到我家,252.7万追番,9.6,"['漫画改', '萌系', '搞笑', '日常']",5884万
